frameNumber,1,2,3,4,5,6
160,381.43779999997616,284.32619999997564,-1,-1,-1,-1
160,367.93639999998555,266.9183999999657,-1,-1,-1,-1
161,381.44899999997654,288.2627999999752,-1,-1,-1,-1
161,367.9475999999859,266.92379999996587,-1,-1,-1,-1
162,381.462799999977,291.5593999999748,-1,-1,-1,-1
162,367.9613999999864,266.1621999999655,-1,-1,-1,-1
163,381.47599999997743,294.82219999997443,-1,-1,-1,-1
163,367.9745999999868,265.61099999996514,-1,-1,-1,-1
164,381.4901999999779,299.85719999997383,-1,-1,-1,-1
164,367.9887999999873,265.54879999996507,-1,-1,-1,-1
165,381.5045999999784,305.0881999999731,-1,-1,-1,-1
165,368.00319999998777,265.4563999999651,-1,-1,-1,-1
166,381.51899999997886,310.31939999997235,-1,-1,-1,-1
166,368.01759999998825,263.7299999999647,-1,-1,-1,-1
167,381.53379999997935,315.34939999997164,-1,-1,-1,-1
167,368.03239999998874,260.02999999996445,-1,-1,-1,-1
168,381.54879999997985,320.6811999999709,-1,-1,-1,-1
168,368.04739999998924,254.73439999996427,-1,-1,-1,-1
169,381.56359999998034,326.01319999997014,-1,-1,-1,-1
169,368.06219999998973,249.41259999996416,-1,-1,-1,-1
170,381.5743999999807,331.21719999996947,-1,-1,-1,-1
170,368.0729999999901,244.19239999996407,-1,-1,-1,-1
171,381.57579999998075,336.09319999996893,-1,-1,-1,-1
171,368.07439999999013,239.24459999996373,-1,-1,-1,-1
172,381.5773999999808,340.40739999996833,-1,-1,-1,-1
172,368.0759999999902,236.8065999999635,-1,-1,-1,-1
173,381.57879999998084,343.2553999999677,-1,-1,-1,-1
173,368.07739999999023,236.74339999996343,-1,-1,-1,-1
174,381.5803999999809,342.81479999996714,-1,-1,-1,-1
174,368.0789999999903,236.74899999996362,-1,-1,-1,-1
175,381.58179999998094,339.9743999999665,-1,-1,-1,-1
175,368.08039999999033,236.7543999999638,-1,-1,-1,-1
176,381.5869999999811,335.95839999996593,-1,-1,-1,-1
176,368.0855999999905,236.85739999996383,-1,-1,-1,-1
177,381.5901999999812,332.6007999999654,-1,-1,-1,-1
177,368.0887999999906,238.25639999996358,-1,-1,-1,-1
178,381.6023999999816,331.88279999996485,-1,-1,-1,-1
178,368.100999999991,239.25539999996326,-1,-1,-1,-1
179,381.6159999999821,333.17879999996427,-1,-1,-1,-1
179,368.11459999999147,239.671199999963,-1,-1,-1,-1
180,381.62999999998254,335.81619999996377,-1,-1,-1,-1
180,368.12859999999193,239.68859999996306,-1,-1,-1,-1
181,381.643399999983,337.51659999996326,-1,-1,-1,-1
181,368.1419999999924,239.69399999996324,-1,-1,-1,-1
182,381.65779999998347,337.427399999963,-1,-1,-1,-1
182,368.15639999999286,239.69939999996342,-1,-1,-1,-1
183,381.67219999998395,337.43299999996316,-1,-1,-1,-1
183,368.17079999999333,239.7049999999636,-1,-1,-1,-1
184,381.68679999998443,337.43819999996333,-1,-1,-1,-1
184,368.1853999999938,240.54279999996336,-1,-1,-1,-1
185,381.7011999999849,337.4435999999635,-1,-1,-1,-1
185,368.1997999999943,243.60619999996314,-1,-1,-1,-1
186,381.7159999999854,336.90539999996315,-1,-1,-1,-1
186,368.2145999999948,248.37259999996283,-1,-1,-1,-1
187,381.7303999999859,336.6799999999631,-1,-1,-1,-1
187,368.22899999999527,248.9675999999628,-1,-1,-1,-1
188,381.74499999998636,336.6799999999631,-1,-1,-1,-1
188,368.24359999999575,248.9675999999628,-1,-1,-1,-1
189,381.75919999998683,336.6799999999631,-1,-1,-1,-1
189,368.2577999999962,248.9675999999628,-1,-1,-1,-1
190,377.31759999998536,336.6799999999631,-1,-1,-1,-1
190,368.2721999999967,248.9675999999628,-1,-1,-1,-1
191,374.4411999999834,336.6799999999631,-1,-1,-1,-1
191,368.2863999999972,248.9675999999628,-1,-1,-1,-1
192,376.87479999998135,336.6799999999631,-1,-1,-1,-1
192,368.30079999999765,248.9675999999628,-1,-1,-1,-1
193,376.9033999999816,336.6799999999631,-1,-1,-1,-1
193,368.31519999999813,248.9675999999628,-1,-1,-1,-1
194,376.9177999999821,336.6799999999631,-1,-1,-1,-1
194,368.3295999999986,248.9675999999628,-1,-1,-1,-1
195,376.9321999999826,336.6799999999631,-1,-1,-1,-1
195,368.3439999999991,248.9675999999628,-1,-1,-1,-1
196,376.94619999998304,336.6799999999631,-1,-1,-1,-1
196,368.35799999999955,248.9675999999628,-1,-1,-1,-1
197,376.95019999998317,336.6799999999631,-1,-1,-1,-1
197,368.3619999999997,248.9675999999628,-1,-1,-1,-1
198,376.95819999998344,336.6799999999631,-1,-1,-1,-1
198,368.36999999999995,248.9675999999628,-1,-1,-1,-1
199,376.9597999999835,336.6799999999631,-1,-1,-1,-1
199,368.3716,248.9675999999628,-1,-1,-1,-1
200,376.96139999998354,336.6799999999631,-1,-1,-1,-1
200,368.37300000000005,248.9675999999628,-1,-1,-1,-1
201,376.96799999998376,336.6799999999631,-1,-1,-1,-1
201,368.37960000000027,248.9675999999628,-1,-1,-1,-1
